2026-07-25 20:04:11 | ERROR    | discord_bot | manager.py:42 | Failed to connect to database: localhost:27017: [Errno 111] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 6a6516b6ffbd1ac459517b41, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [Errno 111] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-07-25 20:04:11 | CRITICAL | discord_bot | main.py:56 | Failed to initialize database: localhost:27017: [Errno 111] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 6a6516b6ffbd1ac459517b41, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [Errno 111] Connection refused (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.verification: Extension 'cogs.verification' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.server: Extension 'cogs.server' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.tickets: Extension 'cogs.tickets' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.automation: Extension 'cogs.automation' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.owner: Extension 'cogs.owner' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.logging: Extension 'cogs.logging' has no 'setup' function.
2026-07-25 20:06:09 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.roles: Extension 'cogs.roles' has no 'setup' function.
2026-07-25 20:13:06 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.verification: Extension 'cogs.verification' raised an error: NameError: name 'is_moderator' is not defined
2026-07-25 20:13:06 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.utility: Extension 'cogs.utility' raised an error: CommandAlreadyRegistered: Command 'roleinfo' already registered.
2026-07-25 20:24:22 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.verification: Extension 'cogs.verification' raised an error: NameError: name 'is_moderator' is not defined
2026-07-25 20:24:22 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.utility: Extension 'cogs.utility' raised an error: CommandAlreadyRegistered: Command 'roleinfo' already registered.
2026-07-25 20:27:55 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.verification: Extension 'cogs.verification' raised an error: NameError: name 'is_moderator' is not defined
2026-07-25 20:27:55 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.utility: Extension 'cogs.utility' raised an error: CommandAlreadyRegistered: Command 'roleinfo' already registered.
2026-07-25 20:33:17 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.verification: Extension 'cogs.verification' raised an error: NameError: name 'is_moderator' is not defined
2026-07-25 20:33:17 | ERROR    | discord_bot | main.py:92 | Failed to load cog cogs.utility: Extension 'cogs.utility' raised an error: CommandAlreadyRegistered: Command 'roleinfo' already registered.
